timestamp,status,changed,current_text
2026-04-01 23:40:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-01 23:45:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-01 23:50:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-01 23:55:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:00:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:05:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:10:01 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:15:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:20:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:25:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:30:01 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:35:01 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:40:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:45:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:50:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 00:55:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:00:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:05:01 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:10:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:15:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:20:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:25:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:30:01 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:35:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:35:17 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:40:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:45:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:50:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 01:55:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 02:00:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
2026-04-02 02:05:00 IST,unchanged,false,Entry Form for Amateur Players - Season 2026 (Leg 7 to 8)
